Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	node0	combined	Drop	0	0	0	0
1	node1	combined	Drop	0	0	0	0
1	node2	combined	Drop	0	0	0	0
1	node3	combined	Drop	0	0	0	0
1	node4	combined	Drop	0	0	0	0
1	origin0	combined	Drop	0	0	0	0
1	origin1	combined	Drop	0	0	0	0
2	node0	combined	Drop	0	0	0	0
2	node1	combined	Drop	0	0	0	0
2	node2	combined	Drop	0	0	0	0
2	node3	combined	Drop	0	0	0	0
2	node4	combined	Drop	0	0	0	0
2	origin0	combined	Drop	0	0	0	0
2	origin1	combined	Drop	0	0	0	0
3	node0	combined	Drop	0	0	0	0
3	node1	combined	Drop	0	0	0	0
3	node2	combined	Drop	0	0	0	0
3	node3	combined	Drop	0	0	0	0
3	node4	combined	Drop	0	0	0	0
3	origin0	combined	Drop	0	0	0	0
3	origin1	combined	Drop	0	0	0	0
4	node0	combined	Drop	0	0	0	0
4	node1	combined	Drop	0	0	0	0
4	node2	combined	Drop	0	0	0	0
4	node3	combined	Drop	0	0	0	0
4	node4	combined	Drop	0	0	0	0
4	origin0	combined	Drop	0	0	0	0
4	origin1	combined	Drop	0	0	0	0
5	node0	combined	Drop	0	0	0	0
5	node1	combined	Drop	0	0	0	0
5	node2	combined	Drop	0	0	0	0
5	node3	combined	Drop	0	0	0	0
5	node4	combined	Drop	0	0	0	0
5	origin0	combined	Drop	0	0	0	0
5	origin1	combined	Drop	0	0	0	0
6	node0	combined	Drop	0	0	0	0
6	node1	combined	Drop	0	0	0	0
6	node2	combined	Drop	0	0	0	0
6	node3	combined	Drop	0	0	0	0
6	node4	combined	Drop	0	0	0	0
6	origin0	combined	Drop	0	0	0	0
6	origin1	combined	Drop	0	0	0	0
7	node0	combined	Drop	0	0	0	0
7	node1	combined	Drop	0	0	0	0
7	node2	combined	Drop	0	0	0	0
7	node3	combined	Drop	0	0	0	0
7	node4	combined	Drop	0	0	0	0
7	origin0	combined	Drop	0	0	0	0
7	origin1	combined	Drop	0	0	0	0
8	node0	combined	Drop	0	0	0	0
8	node1	combined	Drop	0	0	0	0
8	node2	combined	Drop	0	0	0	0
8	node3	combined	Drop	0	0	0	0
8	node4	combined	Drop	0	0	0	0
8	origin0	combined	Drop	0	0	0	0
8	origin1	combined	Drop	0	0	0	0
9	node0	combined	Drop	0	0	0	0
9	node1	combined	Drop	0	0	0	0
9	node2	combined	Drop	0	0	0	0
9	node3	combined	Drop	0	0	0	0
9	node4	combined	Drop	0	0	0	0
9	origin0	combined	Drop	0	0	0	0
9	origin1	combined	Drop	0	0	0	0
